ds,yhat,yhat_lower,yhat_upper,zone_id,zone_name
2024-01-01,5634.37825053879,4686.049943612757,6793.093966872009,132,JFK Airport
2024-01-02,5333.442236191129,4297.196769445277,6336.263318383137,132,JFK Airport
2024-01-03,4931.557973655667,3928.671568543899,5897.025488098344,132,JFK Airport
2024-01-04,5034.99566948862,4080.6612724067572,6030.287301582821,132,JFK Airport
2024-01-05,5114.219357156983,4050.130197807178,6129.715800911166,132,JFK Airport
2024-01-06,4870.099434923105,3851.918698111027,5941.875457614918,132,JFK Airport
2024-01-07,6044.622034278621,5033.072635999869,7143.299723274625,132,JFK Airport
2024-01-08,6287.4138045769205,5240.251670585278,7318.747821658711,132,JFK Airport
2024-01-09,5467.115046848031,4372.238218421979,6487.396879010289,132,JFK Airport
2024-01-10,5257.808986720015,4178.158932217696,6319.704612629724,132,JFK Airport
2024-01-11,5304.933563108832,4353.803406362417,6371.484645388005,132,JFK Airport
2024-01-12,5326.253652585661,4293.62020893087,6331.189178241218,132,JFK Airport
2024-01-13,5022.5901954128185,4003.977245966263,5988.191284030085,132,JFK Airport
2024-01-14,5647.063471894108,4573.248253420774,6671.193005197954,132,JFK Airport
2024-01-15,6110.782302441977,5052.316326256571,7145.281031535987,132,JFK Airport
2024-01-16,5703.336069664149,4686.992062496847,6755.495220937174,132,JFK Airport
2024-01-17,5193.984737043238,4188.094138329224,6313.357340994033,132,JFK Airport
2024-01-18,5195.53261404886,4145.6549552815495,6212.833078169945,132,JFK Airport
2024-01-19,5176.141633203322,4056.9037700572153,6215.339085866973,132,JFK Airport
2024-01-20,4836.034921733224,3785.2304919352523,5803.173705355234,132,JFK Airport
2024-01-21,5932.080128455516,4917.985577013483,6861.3279016102315,132,JFK Airport
2024-01-22,6097.167029159532,5080.254771174814,7179.876324109271,132,JFK Airport
2024-01-23,5200.067278457423,4209.84627213595,6245.242875621866,132,JFK Airport
2024-01-24,4928.631502292876,3867.3766570504918,6005.772640808534,132,JFK Airport
2024-01-25,4926.271540585353,3940.4155931709956,5941.699352979965,132,JFK Airport
2024-01-26,4909.062392613235,3880.124094717629,6004.873425037445,132,JFK Airport
2024-01-27,4575.786526753894,3541.9824236102463,5622.896158066359,132,JFK Airport
2024-01-28,5689.616528346125,4653.157202088244,6729.276813143358,132,JFK Airport
2024-01-29,5873.942930994105,4803.355158141546,6897.8860186019365,132,JFK Airport
2024-01-30,4996.499953620615,3997.6265651767953,6022.3798770542835,132,JFK Airport
2024-01-01,450.3926471956138,0.0,1532.7031886204504,237,Upper East Side North
2024-01-02,1863.1505190325286,792.0501777099701,2941.6134080375296,237,Upper East Side North
2024-01-03,2084.6540161916523,1096.6513819654162,3121.2464100787097,237,Upper East Side North
2024-01-04,1752.010986744513,689.2570027803181,2755.2417803365743,237,Upper East Side North
2024-01-05,681.0906019456272,0.0,1826.7525025221826,237,Upper East Side North
2024-01-06,0.0,0.0,788.8171443102767,237,Upper East Side North
2024-01-07,0.0,0.0,0.0,237,Upper East Side North
2024-01-08,35.274161373356854,0.0,1157.7071665648668,237,Upper East Side North
2024-01-09,889.6965277236804,0.0,1988.7016203030978,237,Upper East Side North
2024-01-10,1019.8951274639455,0.0,2115.0357175463773,237,Upper East Side North
2024-01-11,930.3897950973015,0.0,2044.0468188136429,237,Upper East Side North
2024-01-12,112.23122428371441,0.0,1117.9174730325894,237,Upper East Side North
2024-01-13,0.0,0.0,450.954288371139,237,Upper East Side North
2024-01-14,0.0,0.0,0.0,237,Upper East Side North
2024-01-15,0.0,0.0,240.04537702655685,237,Upper East Side North
2024-01-16,985.6371935342397,0.0,2037.4357499390383,237,Upper East Side North
2024-01-17,1659.393605967634,566.5643208952864,2735.3252078500227,237,Upper East Side North
2024-01-18,1777.6698339166435,727.3566960590967,2859.2311123042687,237,Upper East Side North
2024-01-19,1150.5052662907096,129.07152613654827,2207.7237320256145,237,Upper East Side North
2024-01-20,587.800367899775,0.0,1646.3752133897522,237,Upper East Side North
2024-01-21,0.0,0.0,1051.9199951820442,237,Upper East Side North
2024-01-22,1682.797879543907,566.1075603898986,2767.3588600483513,237,Upper East Side North
2024-01-23,2858.9323521117312,1790.8467902017617,3959.4214013697574,237,Upper East Side North
2024-01-24,3276.1751251035957,2125.5657945187463,4424.767818198437,237,Upper East Side North
2024-01-25,3432.5248493382283,2271.049882926204,4553.314586720602,237,Upper East Side North
2024-01-26,2820.0853228273713,1802.3192300525816,3946.188462048686,237,Upper East Side North
2024-01-27,2247.2230776877336,1181.8262539265047,3315.835762812926,237,Upper East Side North
2024-01-28,1539.1081783814593,430.4982081492164,2686.114976652906,237,Upper East Side North
2024-01-29,3247.298789659235,2175.879670724162,4315.66866470494,237,Upper East Side North
2024-01-30,4344.562313776444,3235.0534966574683,5435.7867222971045,237,Upper East Side North
2024-01-01,1397.9710442609367,551.2828596205887,2334.716335641695,161,Midtown Center
2024-01-02,2753.7278619200642,1778.5703911774394,3684.9963891028574,161,Midtown Center
2024-01-03,2965.9077858455885,2110.1228698787463,3909.352821817433,161,Midtown Center
2024-01-04,2720.981128232954,1818.015668151212,3620.7579295172422,161,Midtown Center
2024-01-05,1615.1937136988297,641.1519273538073,2541.4279357676483,161,Midtown Center
2024-01-06,697.716488762068,0.0,1592.1333000660454,161,Midtown Center
2024-01-07,0.0,0.0,848.1000245832046,161,Midtown Center
2024-01-08,1197.6164788911658,288.8990136454958,2132.177936942088,161,Midtown Center
2024-01-09,1909.002374950233,943.842394205852,2866.3192786249156,161,Midtown Center
2024-01-10,1986.7617383248885,1027.5093245915025,2929.902228184694,161,Midtown Center
2024-01-11,1868.920487722443,963.0312317508336,2805.073334562613,161,Midtown Center
2024-01-12,907.7971188377862,0.0,1810.4566410772068,161,Midtown Center
2024-01-13,139.40392603952023,0.0,1054.3950311083643,161,Midtown Center
2024-01-14,0.0,0.0,424.3773753607574,161,Midtown Center
2024-01-15,0.0,0.0,914.1053031488724,161,Midtown Center
2024-01-16,1527.6782364821331,575.1272166563948,2381.4391905141847,161,Midtown Center
2024-01-17,1989.4843952719225,1112.5515002792104,2945.1138189758,161,Midtown Center
2024-01-18,2009.0607737697214,1092.048622851632,2887.621122173697,161,Midtown Center
2024-01-19,1186.9854462991113,272.2759391255679,2152.0205890935727,161,Midtown Center
2024-01-20,546.5431950479336,0.0,1553.4632395038211,161,Midtown Center
2024-01-21,84.39690205702155,0.0,1067.1328546948848,161,Midtown Center
2024-01-22,1527.8657764597372,613.1160586471935,2469.425927646854,161,Midtown Center
2024-01-23,2451.165875668642,1558.5330296932948,3385.105623894236,161,Midtown Center
2024-01-24,2737.1609960108844,1824.9250345486,3725.854048330624,161,Midtown Center
2024-01-25,2812.0683506369214,1964.5111816300812,3711.9062767978526,161,Midtown Center
2024-01-26,2039.6597982852195,1101.2838579253385,2942.9483384112764,161,Midtown Center
2024-01-27,1432.4544000414542,560.6553592642617,2362.24114341869,161,Midtown Center
2024-01-28,987.5205012984927,104.20702302713546,2002.65634071173,161,Midtown Center
2024-01-29,2414.3394883353712,1497.2154456274288,3272.5828016877567,161,Midtown Center
2024-01-30,3313.8796326045276,2422.177361396831,4275.910804333019,161,Midtown Center
2024-01-01,628.3947922618737,0.0,1576.6099827553796,236,Upper East Side South
2024-01-02,1749.3462232872128,871.7438146131784,2641.0609379635325,236,Upper East Side South
2024-01-03,1869.206317811004,1036.2911114355888,2689.6005608914215,236,Upper East Side South
2024-01-04,1689.7969943690462,840.6255033402574,2574.4539072969496,236,Upper East Side South
2024-01-05,1030.7239486748083,175.13011671846118,1927.3053257753727,236,Upper East Side South
2024-01-06,0.0,0.0,782.5332134164055,236,Upper East Side South
2024-01-07,0.0,0.0,0.0,236,Upper East Side South
2024-01-08,372.4847975963899,0.0,1225.8058311846994,236,Upper East Side South
2024-01-09,948.1493561785753,78.92826135058066,1744.063869490068,236,Upper East Side South
2024-01-10,931.1083912126439,56.51175370592638,1795.0879323906343,236,Upper East Side South
2024-01-11,957.8007976915117,78.19844808160148,1812.6856236160027,236,Upper East Side South
2024-01-12,513.5319530862794,0.0,1293.1535430406348,236,Upper East Side South
2024-01-13,0.0,0.0,485.5360948087493,236,Upper East Side South
2024-01-14,0.0,0.0,0.0,236,Upper East Side South
2024-01-15,0.0,0.0,290.75156111528304,236,Upper East Side South
2024-01-16,957.5729422793223,53.07073792413895,1895.6202553185788,236,Upper East Side South
2024-01-17,1469.2761275047883,597.8883205302344,2358.168592279731,236,Upper East Side South
2024-01-18,1681.3677524203624,811.2631390596039,2602.1719315301275,236,Upper East Side South
2024-01-19,1408.2971205440397,583.4324563637779,2261.4907591741685,236,Upper East Side South
2024-01-20,631.281280001709,0.0,1493.7449213885407,236,Upper East Side South
2024-01-21,168.61516726347764,0.0,1013.4448407900893,236,Upper East Side South
2024-01-22,1797.0848881121326,893.7370201677088,2707.8947048048653,236,Upper East Side South
2024-01-23,2666.2703558186563,1835.2122835629145,3487.9734129054,236,Upper East Side South
2024-01-24,2913.152826242428,2076.469716597921,3795.271331160065,236,Upper East Side South
2024-01-25,3167.773375490051,2231.52417122074,4010.11266565221,236,Upper East Side South
2024-01-26,2915.6806722128294,2090.844657168559,3753.89336826647,236,Upper East Side South
2024-01-27,2138.8640239679717,1268.324172495007,2976.109561491365,236,Upper East Side South
2024-01-28,1654.6439670480172,868.7908684959835,2580.9892806184716,236,Upper East Side South
2024-01-29,3236.732789893284,2343.445568907227,4114.897557015147,236,Upper East Side South
2024-01-30,4043.85293750386,3166.3320883146766,4956.25213769781,236,Upper East Side South
2024-01-01,1113.4049245261472,448.4652761170152,1824.6362994767828,162,Midtown East
2024-01-02,1892.6402034705973,1211.119672895153,2605.445709613932,162,Midtown East
2024-01-03,2020.3632705111884,1393.2235367344977,2653.85753195277,162,Midtown East
2024-01-04,1811.6265560723464,1119.2280942076034,2492.8017998474274,162,Midtown East
2024-01-05,970.330724142477,263.1809162323895,1623.880383025725,162,Midtown East
2024-01-06,297.10864765170953,0.0,905.856381543414,162,Midtown East
2024-01-07,0.0,0.0,572.312113420915,162,Midtown East
2024-01-08,693.3998468085351,52.027453161112824,1351.8005123735722,162,Midtown East
2024-01-09,1241.2009566333825,523.0514210301235,1941.2971271666524,162,Midtown East
2024-01-10,1329.5530616370108,648.2700611664977,2021.988549560321,162,Midtown East
2024-01-11,1245.3704194435245,596.8106219613225,1935.6475175142348,162,Midtown East
2024-01-12,537.9510367602032,0.0,1196.243021743088,162,Midtown East
2024-01-13,0.0,0.0,646.6420025684515,162,Midtown East
2024-01-14,0.0,0.0,322.76294862543455,162,Midtown East
2024-01-15,161.98012378413557,0.0,814.1691727238556,162,Midtown East
2024-01-16,1158.0687886241574,495.3016720219569,1836.079696547023,162,Midtown East
2024-01-17,1515.505490036144,861.8050344345902,2205.927154095528,162,Midtown East
2024-01-18,1540.454199221412,897.2665721824845,2229.053647465166,162,Midtown East
2024-01-19,938.3757038275069,278.6749251409584,1621.8476675029697,162,Midtown East
2024-01-20,493.02670580980987,0.0,1173.9360981826412,162,Midtown East
2024-01-21,343.7322210787724,0.0,1068.6013562589108,162,Midtown East
2024-01-22,1277.8854208968685,550.7990357889652,1914.9961430070982,162,Midtown East
2024-01-23,1989.9843066142341,1351.7760426152292,2653.708462011673,162,Midtown East
2024-01-24,2231.582122991943,1567.3168108920765,2944.7474615831948,162,Midtown East
2024-01-25,2283.0819557332798,1596.8416002251909,2958.596857667863,162,Midtown East
2024-01-26,1700.3100329134245,1012.3313430847511,2327.85751345108,162,Midtown East
2024-01-27,1260.7733304306712,629.6398159661935,1945.7244418661357,162,Midtown East
2024-01-28,1103.307439420685,432.3987678604133,1803.6825005140888,162,Midtown East
2024-01-29,2009.3897363480032,1295.8660707426257,2678.237442095866,162,Midtown East
2024-01-30,2685.8881798650555,2035.093235968615,3332.898129901952,162,Midtown East
